date,10.2.0.1,10.2.0.2,192.168.36.1,128.243.19.10,128.243.19.110,128.243.19.12,128.243.19.19,128.243.19.20,128.243.20.6,128.243.21.108,192.168.217.1,128.243.21.16,128.243.21.248,128.243.22.140,128.243.19.35,128.243.20.248,128.243.22.141,128.243.22.244,192.168.1.94,192.168.1.96,128.243.22.244, 128.243.22.9,128.243.46.118,192.168.1.64,192.168.1.68
2012-4-25:18,76067915,2462676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-25:19,28167355,715410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-26:12,49516,161162,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-26:13,84803724,2388384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-26:14,75306761,2610203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-27:12,45738,35459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-27:13,43153,70663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-27:14,1834,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-27:15,56570520,1524172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-27:16,9529463,381739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-30:17,263644,1035203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-30:18,75368645,2886803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-4-30:19,122297736,4265758,180,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,214,0,0,0,0,0,0
2012-5-1:12,44707,170812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:13,422814,495461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:14,193334,564560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:15,333123,709486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:16,56109,186911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:17,2163,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-2:14,147398,184692,828,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,1758,0,0,0,0,0
2012-5-2:15,25877,67895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-2:16,28683290,1017279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-2:20,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-2:21,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:12,85933132,3165306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:13,9619890,290448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:14,38227500,984582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:15,64664,349615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-4:18,85390088,3366047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-4:19,18958352,536097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-4:20,57122229,1985405,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,524,0
2012-5-4:21,85679236,2597315,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,524,0
2012-5-8:18,9606511,363339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0
2012-5-8:19,9588043,292744,3366,0,0,0,0,0,0,0,3274,0,0,0,0,0,0,0,0,0,0,0,0,4192,0
2012-5-8:20,96068637,8590973,2340,0,0,0,0,0,0,0,2340,0,0,0,0,0,0,0,0,0,0,0,0,1642,0
2012-5-8:21,9875944,4874406,1176,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,648,0
2012-5-9:18,28837944,1920933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-9:19,66948596,2408728,642,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,2164,0
2012-5-9:20,124487376,4432038,1736,0,0,0,0,0,0,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,3854,0
2012-5-9:21,95760408,3399970,2430,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,1302,0
2012-5-10:12,9599816,310878,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-10:13,67368781,11588608,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-10:14,95915583,3853685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-10:15,28811652,1070051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-11:13,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-11:14,233772,8428587,0,0,0,0,0,0,0,0,5722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-11:15,36630191,1733543,0,0,0,0,0,0,0,0,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-11:16,46394337,2196360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2012-5-11:19,14744,15874,552,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,1350
2012-5-11:20,32367,120796,3072,0,0,0,0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,3216
2012-5-11:21,20877,24180,4146,0,0,0,0,0,0,0,4146,0,0,0,0,0,0,0,0,0,0,0,0,0,2382
2012-5-11:22,20402,37815,2520,0,0,0,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,1488
2012-5-11:23,5294,4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-13:22,54965754,2090091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-13:23,219578839,6736401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:12,18376322,793388,450,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,526
2012-5-14:13,18375171,756151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:14,12441,82427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:15,55270026,18292970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:16,45385,180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:18,37639,25258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:20,36837885,9648417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:21,128819953,4802942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:22,202035121,5796325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:23,146972250,4216396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:10,40350,70183,552,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,924
2012-5-15:11,91880466,2805153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:12,65947263,2775505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:15,91924600,3007413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:17,128608951,3885240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:18,165356925,5286756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:20,138001968,6679224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-16:12,17309,17542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-16:13,77304,241708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-22:12,244302,101930,152,0,0,0,0,12257,54,0,244,0,0,0,1130,1699284,7926,540,0,0,540,1176,0,0,0
2012-5-22:13,73669876,2657929,1346,0,0,518,0,17000,54,999,0,0,1332,1724,3026,96143,2236,0,0,0,0,154,90,0,0
2012-5-22:14,37229623,1650952,5350,2318,0,0,0,24788,54,0,0,0,0,5736,2696,2495729,7243,0,0,0,0,2604,180,0,0
2012-5-22:15,18438571,593884,2700,0,0,0,0,192,0,0,0,0,0,370,1403,1384,0,0,0,0,0,0,0,0,0
2012-5-25:14,55251099,1717913,6222,0,0,0,0,8647,0,0,6036,54,0,0,2894,335282,224,0,0,0,0,528,90,0,0
2012-5-29:12,386918,776,0,0,0,0,968,1156,0,0,0,0,0,0,55,2048100,6609,0,0,0,0,0,0,0,0
2012-5-29:15,18790243,668050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-29:16,62703,190254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
